,HSP-008,,,,,,HSP-009                                ,,,,,,HSP-0021,,,,
,,Mail,Web,Web Mail,Url,,Company Name,Mail,Web,Web Mail,Url,,Company Name,Mail,Web,Web Mail,Url
,,,11.01.2025,,,,ON THAT ASS,support@onthatass.com,onthatass.com,,https://www.trustpilot.com/review/onthatass.com,,,,,,
,jeromealexander.com,support@jeromealexander.com,jeromealexander.com,,https://www.trustpilot.com/review/jeromealexander.com,,Inkmonster,contact@inkmonster.fi,inkmonster.fi,,https://www.trustpilot.com/review/inkmonster.fi,,,,21.01.2025,,
,Diet vs Disease Dietitian Consulting,hello@dietvsdisease.org,dietvsdisease.org,,https://www.trustpilot.com/review/dietvsdisease.org,,azurarunway.com,contact@azurarunway.com,azurarunway.com,,https://www.trustpilot.com/review/www.azurarunway.com,,Record go Mobility,marketing@recordrentacar.com,recordrentacar.com,reservas@recordrentacar.com,https://www.trustpilot.com/review/www.recordrentacar.com
,Gillies,sales@gillies.co.uk,gillies.co.uk,,https://www.trustpilot.com/review/gillies.co.uk,,Nextzen Limited,support@nextzen.net,nextzen.net,,https://www.trustpilot.com/review/nextzen.com.bd,,Budwals,sales@budwals.co.uk,budwals.co.uk,,https://www.trustpilot.com/review/www.budwals.co.uk
,du,customer.care@du.ae,du.ae,,https://www.trustpilot.com/review/du.ae,,,,03.03.2025,,,,Grand Central Rail,customer.services@grandcentralrail.com,grandcentralrail.com,first.last@grandcentralrail.com,https://www.trustpilot.com/review/www.grandcentralrail.com
,Equitable Bank (Reverse Mortgage Lending),reversemortgage@eqbank.ca,equitablebank.ca,,https://www.trustpilot.com/review/equitablebank.ca,,A.I. Fitness,impressum@ai-fitness.de,ai-fitness.de,,https://www.trustpilot.com/review/ai-fitness.de,,Wayfair UK,service@wayfair.co.uk,wayfair.co.uk,,https://www.trustpilot.com/review/wayfair.co.uk
,yaheetech.shop,info@yaheetech.shop,yaheetech.shop,,https://www.trustpilot.com/review/www.yaheetech.shop,,Rogue Fitness,team@roguefitness.com,roguefitness.com,,https://www.trustpilot.com/review/roguefitness.com,,Feel Free Travel,hello@feelfreetravel.com,feelfreetravel.com,enquiries@feelfreetravel.com,https://www.trustpilot.com/review/feelfreetravel.com
,Detectico,support@detectico.com,detectico.com,,https://www.trustpilot.com/review/www.detectico.com,,Anytime Fitness,newhopemn@anytimefitness.com,anytimefitness.com,,https://www.trustpilot.com/review/anytimefitness.com,,GlucoFit,contact@glucofit.co,glucofit.co,,https://www.trustpilot.com/review/glucofit.co
,Nevisport,orders@nevisport.com,nevisport.com,,https://www.trustpilot.com/review/www.nevisport.com,,Yesoul Fitness,support@yesoulfitness.com,yesoulfitness.com,,https://www.trustpilot.com/review/yesoulfitness.com,,Bluegrass Hemp Oil,info@bluegrasshempoil.com,bluegrasshempoil.com,,https://www.trustpilot.com/review/bluegrasshempoil.com
,ACI UK Ltd,info@aciuk.co.uk,www.aciuk.co.uk,,https://www.trustpilot.com/review/aciuk.co.uk,,Crunch Fitness,info@crunch.com,crunch.com,,https://www.trustpilot.com/review/crunch.com,,Vetpetni,enquiries@vetpetni.co.uk,vetpetni.co.uk,,https://www.trustpilot.com/review/vetpetni.co.uk
,StubHub U.S. and Canada,pr@stubhub.com,www.stubhub.com,,https://www.trustpilot.com/review/www.stubhub.com,,FitX,mitglied@fitx.de,fitx.de,,https://www.trustpilot.com/review/fitx.de,,CUDDLY,support@cuddly.com,cuddly.com,hello@cuddly.com,https://www.trustpilot.com/review/cuddly.com
,Goggles4u UK,farrukh@goggles4u.co.uk,www.goggles4u.co.uk,,https://www.trustpilot.com/review/goggles4u.co.uk,,jumpers fitness,impressum@jumpers-fitness.com,jumpers-fitness.com,,https://www.trustpilot.com/review/www.jumpers-fitness.com,,,,22.01.2025***,,
,DHL Express UK,ecs.am.ops.logistics@dhl.com,www.dhl.com/gb-en,,https://www.trustpilot.com/review/www.dhl.co.uk,,The Hippie Shake,info@thehippieshake.co.uk,thehippieshake.co.uk,,https://www.trustpilot.com/review/thehippieshake.co.uk,,Spot Pet Insurance,marketing@spotpet.com,spotpet.com,,https://www.trustpilot.com/review/spotpet.com
,Lily and Bean,support@lilyandbean.co.uk,www.lilyandbean.co.uk,,https://www.trustpilot.com/review/www.lilyandbean.co.uk,,Timeolution,info@timeolution.com,timeolution.com,,https://www.trustpilot.com/review/timeolution.com,,whiskerDocs,help@whiskerdocs.com,whiskerdocs.com,,https://www.trustpilot.com/review/whiskerdocs.com
,Fortnum & Mason,first.last@fortnumandmason.com,www.fortnumandmason.com,john@fortnumandmason.com,https://www.trustpilot.com/review/www.booking.com,,McFIT GmbH,impressum@rsggroup.com,mcfit.de,,https://www.trustpilot.com/review/mcfit.de,,Beemzy,support@beemzy.com,beemzy.com,,https://www.trustpilot.com/review/beemzy.com
,DingDingDing,support@dingdingding.com,dingdingding.com,affiliates@dingdingding.com,https://www.trustpilot.com/review/www.fortnumandmason.com,,FITNESS HUT,contacto.pt@vivagym.com,fitnesshut.pt,,https://www.trustpilot.com/review/fitnesshut.pt,,Paw Print Genetics,askus@pawprintgenetics.com,pawprintgenetics.com,ppgaskus@neogen.com,https://www.trustpilot.com/review/pawprintgenetics.com
,Baerskintactical,support@baerskintactical.com,baerskintactical.com,support@email.baerskintactical.com,https://www.trustpilot.com/review/baerskintactical.com,,Fitness Depot,edwincameron@fitnessdepot.ca,fitnessdepot.ca,,https://www.trustpilot.com/review/fitnessdepot.ca,,Dutch,care@dutch.com,dutch.com,press@dutch.com,https://www.trustpilot.com/review/dutch.com
,The Vault Uk,info@the-vault-uk.com,the-vault-uk.com,info@the-vault-au.com,https://www.trustpilot.com/review/the-vault-uk.com,,Club Metropolitan Gimnasios - Gimnasio y Fitness,dpo@clubmetropolitan.com,clubmetropolitan.net,,https://www.trustpilot.com/review/clubmetropolitan.net,,My CatScan,contactus@mycatscan.com,catscan.com,,https://www.trustpilot.com/review/mycatscan.com
,eForms,support@eforms.com,eforms.com,,https://www.trustpilot.com/review/eforms.com,,Anytime Fitness,devsupport@anytimefitness.com,anytimefitness.com,,https://www.trustpilot.com/review/anytimefitness.com,,Fauneo,support@fauneo.fr,fauneo.fr,contact@fauneo.fr,https://www.trustpilot.com/review/fauneo.fr
,FlyWP,support@flywp.com,flywp.com,,https://www.trustpilot.com/review/flywp.com,,Diadora Fitness,info@diadorafitness.it,diadorafitness.it,,https://www.trustpilot.com/review/diadorafitness.it,,ToltrazurilShop,info@toltrazurilshop.com,toltrazurilshop.com,erictheredstar@gmail.com,https://www.trustpilot.com/review/toltrazurilshop.com
,Atlas trekkers,contact@atlastrekkers.com,www.atlastrekkers.com,,https://www.trustpilot.com/review/atlastrekkers.com,,City Fitness,member.services@cityfitness.co.nz,www.cityfitness.co.nz,,https://www.trustpilot.com/review/www.cityfitness.co.nz,,Wisdom Panel,info@wisdompanel.co.uk,wisdompanel.com,,https://www.trustpilot.com/review/wisdompanel.com
,CJDropshipping,support@cjdropshipping.com,cjdropshipping.com,,https://www.trustpilot.com/review/cjdropshipping.com,,Trainsweateat - App fitness et nutrition,data@trainsweateat.com,trainsweateat.com,,https://www.trustpilot.com/review/trainsweateat.com,,The Vets,support@thevets.com,thevets.com,info@thevets.com,https://www.trustpilot.com/review/thevets.com
,Navin Parmar,support@navinparmar.in,navinparmar.in,hi@navinparmar.in,https://www.trustpilot.com/review/navinparmar.in,,onair-fitness.fr,contact@onair-fitness.fr,onair-fitness.fr,,https://www.trustpilot.com/review/onair-fitness.fr,,Pawp,support@pawp.com,pawp.com,press@pawp.com,https://www.trustpilot.com/review/pawp.com
